title,vote_average,vote_count,release_date,runtime,adult,original_language,overview,popularity,tagline,genres,production_companies
Ghostbusters,7.467,8143,1984-06-08,107,False,en,"After losing their academic posts at a prestigious university, a team of parapsychologists goes into business as proton-pack-toting ""ghostbusters"" who exterminate ghouls, hobgoblins and supernatural pests of all stripes. An ad campaign pays off when a knockout cellist hires the squad to purge her swanky digs of demons that appear to be living in her refrigerator.",29.78,They ain't afraid of no ghost.,"Comedy, Fantasy","Columbia Pictures, Delphi Films, Black Rhino Productions"
The Hangover Part III,6.211,8097,2013-05-23,100,False,en,"This time, there's no wedding. No bachelor party. What could go wrong, right? But when the Wolfpack hits the road, all bets are off.",48.629,It all ends.,Comedy,"Green Hat Films, Legendary Pictures, BenderSpink"
Mission: Impossible,6.968,8089,1996-05-22,110,False,en,"When Ethan Hunt, the leader of a crack espionage team whose perilous operation has gone awry with no explanation, discovers that a mole has penetrated the CIA, he's surprised to learn that he's the No. 1 suspect. To clear his name, Hunt now must ferret out the real double agent and, in the process, even the score.",44.884,Expect the impossible.,"Adventure, Action, Thriller","Paramount, Cruise/Wagner Productions"
To All the Boys I've Loved Before,7.642,8045,2018-08-16,100,False,en,Lara Jean's love life goes from imaginary to out of control when her secret letters to every boy she's ever fallen for are mysteriously mailed out.,38.926,The letters are out.,"Comedy, Romance","Awesomeness Films, Overbrook Entertainment"
Hotel Transylvania,7.0,8037,2012-09-20,91,False,en,"Welcome to Hotel Transylvania, Dracula's lavish five-stake resort, where monsters and their families can live it up and no humans are allowed. One special weekend, Dracula has invited all his best friends to celebrate his beloved daughter Mavis's 118th birthday. For Dracula catering to all of these legendary monsters is no problem but the party really starts when one ordinary guy stumbles into the hotel and changes everything!",50.394,Even monsters need a vacation,"Animation, Comedy, Family, Fantasy","Columbia Pictures, Sony Pictures Animation"
San Andreas,6.229,8036,2015-05-27,114,False,en,"In the aftermath of a massive earthquake in California, a rescue-chopper pilot makes a dangerous journey across the state in order to rescue his estranged daughter.",142.742,"A rescue pilot survived an earthquake, this is what happens next","Action, Drama, Thriller","New Line Cinema, Village Roadshow Pictures, Flynn Picture Company, Warner Bros. Pictures"
War for the Planet of the Apes,7.16,8030,2017-07-11,140,False,en,"Caesar and his apes are forced into a deadly conflict with an army of humans led by a ruthless Colonel. After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind. As the journey finally brings them face to face, Caesar and the Colonel are pitted against each other in an epic battle that will determine the fate of both their species and the future of the planet.",41.094,For freedom. For family. For the planet.,"Drama, Science Fiction, War","20th Century Fox, TSG Entertainment, Chernin Entertainment"
It Chapter Two,6.854,8021,2019-09-04,169,False,en,"27 years after overcoming the malevolent supernatural entity Pennywise, the former members of the Losers' Club, who have grown up and moved away from Derry, are brought back together by a devastating phone call.",72.553,You'll Float Again,"Horror, Fantasy","New Line Cinema, Vertigo Entertainment, Double Dream, Rideback"
Annihilation,6.398,8014,2018-02-22,115,False,en,"A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply.",32.793,Fear what's inside.,"Science Fiction, Horror","DNA Films, Paramount, Scott Rudin Productions, Skydance"
Minority Report,7.3,8013,2002-06-20,145,False,en,"John Anderton is a top 'Precrime' cop in the late-21st century, when technology can predict crimes before they're committed. But Anderton becomes the quarry when another investigator targets him for a murder charge.",30.06,The system is perfect until it comes after you.,"Action, Thriller, Science Fiction, Mystery","Digital Image Associates, Cruise/Wagner Productions, Blue Tulip Productions, Ronald Shusett/Gary Goldman, Amblin Entertainment, 20th Century Fox, DreamWorks Pictures"
Dallas Buyers Club,7.932,8004,2013-11-01,117,False,en,"Loosely based on the true-life tale of Ron Woodroof, a drug-taking, women-loving, homophobic man who in 1986 was diagnosed with HIV/AIDS and given thirty days to live.",20.121,Sometimes it takes a hustler to change the world,"Drama, History","Truth Entertainment, Voltage Pictures, CE, Evolution Independent, R² Films, Rainmaker Films, Focus Features"
Doctor Strange in the Multiverse of Madness,7.355,7991,2022-05-04,126,False,en,"Doctor Strange, with the help of mystical allies both old and new, traverses the mind-bending and dangerous alternate realities of the Multiverse to confront a mysterious new adversary.",96.53,Enter a new dimension of Strange.,"Fantasy, Action, Adventure","Marvel Studios, Kevin Feige Productions"
Transformers: Revenge of the Fallen,6.2,7939,2009-06-19,149,False,en,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",14.169,Revenge is coming.,"Science Fiction, Action, Adventure","DreamWorks Pictures, Paramount, di Bonaventura Pictures, Tom DeSanto/Don Murphy Production, Ian Bryce Productions"
Jumanji: The Next Level,6.931,7932,2019-12-04,123,False,en,"As the gang return to Jumanji to rescue one of their own, they discover that nothing is as they expect. The players will have to brave parts unknown and unexplored in order to escape the world’s most dangerous game.",38.772,,"Adventure, Comedy, Fantasy","Columbia Pictures, Seven Bucks Productions, Matt Tolmach Productions, The Detective Agency"
Mean Girls,7.186,7931,2004-04-30,97,False,en,"Cady Heron is a hit with The Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George.",56.332,Welcome to girl world.,Comedy,"Broadway Video, Paramount, M.G. Films"
Solo: A Star Wars Story,6.563,7904,2018-05-15,135,False,en,"Through a series of daring escapades deep within a dark and dangerous criminal underworld, Han Solo meets his mighty future copilot Chewbacca and encounters the notorious gambler Lando Calrissian.",55.759,Never tell him the odds.,"Science Fiction, Adventure, Action","Lucasfilm Ltd., Allison Shearmur Productions, Imagine Entertainment"
The Purge,6.25,7870,2013-05-31,86,False,en,"Given the country's overcrowded prisons, the U.S. government begins to allow 12-hour periods of time in which all illegal activity is legal. During one of these free-for-alls, a family must protect themselves from a home invasion.",33.071,"One night a year, all crime is legal.","Science Fiction, Horror, Thriller","Universal Pictures, Why Not Productions, Platinum Dunes, Blumhouse Productions"
Terminator Genisys,5.924,7870,2015-06-23,126,False,en,"The year is 2029. John Connor, leader of the resistance continues the war against the machines. At the Los Angeles offensive, John's fears of the unknown future begin to emerge when TECOM spies reveal a new plot by SkyNet that will attack him from both fronts; past and future, and will ultimately change warfare forever.",67.345,Reset the future,"Science Fiction, Action, Thriller, Adventure","Skydance, Paramount, Annapurna Pictures"
Lady Bird,7.271,7861,2017-09-01,94,False,en,"Lady Bird McPherson, a strong willed, deeply opinionated, artistic 17 year old comes of age in Sacramento. Her relationship with her mother and her upbringing are questioned and tested as she plans to head off to college.",25.85,,"Drama, Comedy","IAC Films, Scott Rudin Productions, Entertainment 360"
Sicario,7.39,7836,2015-09-17,122,False,en,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,43.821,The border is just another line to cross.,"Action, Crime, Thriller","Thunder Road, Black Label Media, Lionsgate"
Wonder Woman 1984,6.478,7835,2020-12-16,151,False,en,A botched store robbery places Wonder Woman in a global battle against a powerful and mysterious ancient force that puts her powers in jeopardy.,48.128,A new era of wonder begins.,"Action, Adventure, Fantasy","Warner Bros. Pictures, The Stone Quarry, DC Films, Atlas Entertainment"
Alien: Covenant,6.1,7822,2017-05-09,122,False,en,"Bound for a remote planet on the far side of the galaxy, the crew of the colony ship 'Covenant' discovers what is thought to be an uncharted paradise, but is actually a dark, dangerous world—which has a sole inhabitant: the 'synthetic', David, survivor of the doomed Prometheus expedition.",92.533,The path to paradise begins in hell.,"Science Fiction, Horror, Mystery","Scott Free Productions, Brandywine Productions, 20th Century Fox"
Glass,6.677,7793,2019-01-16,129,False,en,"In a series of escalating encounters, former security guard David Dunn uses his supernatural abilities to track Kevin Wendell Crumb, a disturbed man who has twenty-four personalities. Meanwhile, the shadowy presence of Elijah Price emerges as an orchestrator who holds secrets critical to both men.",31.843,You Cannot Contain What You Are,"Thriller, Drama, Science Fiction","Universal Pictures, Blumhouse Productions, Blinding Edge Pictures, Buena Vista International, Perfect World Pictures"
Oldboy,8.274,7790,2003-11-21,120,False,ko,"With no clue how he came to be imprisoned, drugged and tortured for 15 years, a desperate businessman seeks revenge on his captors.",53.128,"Laugh, and the world laughs with you. Weep, and you weep alone.","Drama, Thriller, Mystery, Action","Show East, CJ Entertainment, Egg Film, Cineclick Asia"
After,7.137,7781,2019-04-11,106,False,en,"Tessa Young is a dedicated student, dutiful daughter and loyal girlfriend to her high school sweetheart. Entering her first semester of college, Tessa's guarded world opens up when she meets Hardin Scott, a mysterious and brooding rebel who makes her question all she thought she knew about herself -- and what she wants out of life.",155.287,"After your first, life is never the same.","Romance, Drama","CalMaple Films, Wattpad, Offspring Entertainment, Diamond Film Productions, Voltage Pictures, Frayed Pages Entertainment"
About Time,7.905,7781,2013-09-04,123,False,en,"The night after another unsatisfactory New Year's party, Tim's father tells his son that the men in his family have always had the ability to travel through time. They can't change history, but they can change what happens and has happened in their own lives. Thus begins the start of a lesson in learning to appreciate life itself as it is, as it comes, and most importantly, the people living alongside us.",35.707,What if every moment in life came with a second chance?,"Drama, Romance, Fantasy","Working Title Films, Translux, Universal Pictures, Relativity Media"
Ocean's Eight,6.985,7780,2018-06-07,111,False,en,"Debbie Ocean, a criminal mastermind, gathers a crew of female thieves to pull off the heist of the century at New York's annual Met Gala.",30.268,Every con has its pros,"Crime, Comedy, Action","Village Roadshow Pictures, Warner Bros. Pictures, Larger Than Life Productions, Rahway Road Productions, Smoke House Pictures"
"Crazy, Stupid, Love.",7.3,7773,2011-07-29,118,False,en,"Cal Weaver is living the American dream. He has a good job, a beautiful house, great children and a beautiful wife, named Emily. Cal's seemingly perfect life unravels, however, when he learns that Emily has been unfaithful and wants a divorce. Over 40 and suddenly single, Cal is adrift in the fickle world of dating. Enter, Jacob Palmer, a self-styled player who takes Cal under his wing and teaches him how to be a hit with the ladies.",39.835,This is crazy. This is stupid. This is love.,"Comedy, Drama, Romance",Warner Bros. Pictures
The Conjuring 2,7.293,7769,2016-06-08,134,False,en,Lorraine and Ed Warren travel to north London to help a single mother raising four children alone in a house plagued by malicious spirits.,80.98,The next true story from the case files of Ed and Lorraine Warren.,"Horror, Thriller","New Line Cinema, Dune Entertainment, The Safran Company, Evergreen Media Group, Atomic Monster"
Spotlight,7.814,7765,2015-11-06,129,False,en,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",20.159,Break the story. Break the silence.,"Drama, History","Participant, Anonymous Content, Rocklin / Faust, First Look Media, Open Road Films, Entertainment One, Topic Studios, Seville International"
Shaun of the Dead,7.54,7760,2004-04-09,99,False,en,"Shaun lives a supremely uneventful life, which revolves around his girlfriend, his mother, and, above all, his local pub. This gentle routine is threatened when the dead return to life and make strenuous attempts to snack on ordinary Londoners.",46.212,A romantic comedy. With zombies.,"Horror, Comedy","WT2 Productions, StudioCanal, Working Title Films, Big Talk Productions, Film4 Productions, Rogue Pictures, Universal Pictures"
"The Good, the Bad and the Ugly",8.473,7751,1966-12-23,161,False,it,"While the Civil War rages on between the Union and the Confederacy, three men – a quiet loner, a ruthless hitman, and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.",81.717,For three men the Civil War wasn't hell. It was practice.,Western,"United Artists, PEA, Arturo González Producciones Cinematográficas, Constantin Film"
Argo,7.275,7750,2012-10-11,120,False,en,"As the Iranian revolution reaches a boiling point, a CIA 'exfiltration' specialist concocts a risky plan to free six Americans who have found shelter at the home of the Canadian ambassador.",17.552,The movie was fake. The mission was real.,"Drama, Thriller","GK Films, Warner Bros. Pictures, Smoke House Pictures"
